London Nine Elms FIDE Blitz 3+2

Final Ranking crosstable after 11 Rounds
Rk.	 		Name	Rtg	FED	1	2	3	4	5	6	7	8	9	10	11	Pts.	 TB1 
1			Patel, Zain	1979	ENG	*	1	½	1	1	1	1	1	1	1	1	9,5	55
2			Keohane, Ben	1869	ENG	0	*	1	1	0	1	1	1	1	1	1	8	55
3			Dunne, Christopher	1956	ENG	½	0	*	1	1	0	1	1	1	1	1	7,5	55
4			Ciba, Maciej	1720	POL	0	0	0	*	1	1	0	1	1	1	1	6	55
5			Sajanani, Vikas	1873	ENG	0	1	0	0	*	0	½	1	1	1	1	5,5	55
5           Harshavardhan, Engam	0	ENG	0	0	1	0	1	*	½	0	1	1	1	5,5	55
7			Mozaffari, Mohammad-Hossein	1917	IRI	0	0	0	1	½	½	*	0	1	1	1	5	55
8			Kalpok, Guha	1729	IND	0	0	0	0	0	1	1	*	0	1	1	4	55
9			Raugalas, Marius	1834	LTU	0	0	0	0	0	0	0	1	*	1	1	3	55
10			Soltys, Lidia	0	ENG	0	0	0	0	0	0	0	0	0	*	1	1	55
11			Mohamed, Saifeldin	1530	ENG	0	0	0	0	0	0	0	0	0	0	*	0	55
